REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,ELE_TRANS,E1ELE,2027,96.04167629215569
RD,All,ELE_TRANS,E1ELE,2028,96.38311191841473
RD,All,ELE_TRANS,E1ELE,2029,96.62694931098781
RD,All,ELE_TRANS,E1ELE,2030,96.7731884698753
RD,All,ELE_TRANS,E1ELE,2031,97.22842525908092
RD,All,ELE_TRANS,E1ELE,2032,99.80860708238463
RD,All,ELE_TRANS,E1ELE,2033,102.38878890568851
RD,All,ELE_TRANS,E1ELE,2034,104.9689707289922
RD,All,ELE_TRANS,E1ELE,2035,107.54915255229596
RD,All,ELE_TRANS,E1ELE,2036,110.12933437559964
RD,All,ELE_TRANS,E1ELE,2037,112.70951619890344
RD,All,ELE_TRANS,E1ELE,2038,115.28969802220712
RD,All,ELE_TRANS,E1ELE,2039,117.86987984551088
RD,All,ELE_TRANS,E1ELE,2040,120.45006166881456
RD,All,ELE_TRANS,E1ELE,2041,122.37895317112051
RD,All,ELE_TRANS,E1ELE,2042,124.30784467342636
RD,All,ELE_TRANS,E1ELE,2043,126.23673617573208
RD,All,ELE_TRANS,E1ELE,2044,128.16562767803794
RD,All,ELE_TRANS,E1ELE,2045,130.09451918034387
RD,All,ELE_TRANS,E1ELE,2046,132.0234106826497
RD,All,ELE_TRANS,E1ELE,2047,133.95230218495556
RD,All,ELE_TRANS,E1ELE,2048,135.8811936872614
RD,All,ELE_TRANS,E1ELE,2049,137.81008518956725
RD,All,ELE_TRANS,E1ELE,2050,139.73897669187306
RD,All,ELE_DIST,E2ELE,2018,81.23015391783092
RD,All,ELE_DIST,E2ELE,2019,75.80252281867993
RD,All,ELE_DIST,E2ELE,2020,79.16704614511006
RD,All,ELE_DIST,E2ELE,2021,89.05119163047507
RD,All,ELE_DIST,E2ELE,2022,89.5443968982402
RD,All,ELE_DIST,E2ELE,2023,90.09343062950867
RD,All,ELE_DIST,E2ELE,2024,93.5096457567117
RD,All,ELE_DIST,E2ELE,2025,95.06601033858
RD,All,ELE_DIST,E2ELE,2026,95.6026424322107
RD,All,ELE_DIST,E2ELE,2027,96.04167629215569
RD,All,ELE_DIST,E2ELE,2028,96.38311191841473
RD,All,ELE_DIST,E2ELE,2029,96.62694931098781
RD,All,ELE_DIST,E2ELE,2030,96.7731884698753
RD,All,ELE_DIST,E2ELE,2031,97.22842525908092
RD,All,ELE_DIST,E2ELE,2032,99.80860708238463
RD,All,ELE_DIST,E2ELE,2033,102.38878890568851
RD,All,ELE_DIST,E2ELE,2034,104.9689707289922
RD,All,ELE_DIST,E2ELE,2035,107.54915255229596
RD,All,ELE_DIST,E2ELE,2036,110.12933437559964
RD,All,ELE_DIST,E2ELE,2037,112.70951619890344
RD,All,ELE_DIST,E2ELE,2038,115.28969802220712
RD,All,ELE_DIST,E2ELE,2039,117.86987984551088
RD,All,ELE_DIST,E2ELE,2040,120.45006166881456
RD,All,ELE_DIST,E2ELE,2041,122.37895317112051
RD,All,ELE_DIST,E2ELE,2042,124.30784467342636
RD,All,ELE_DIST,E2ELE,2043,126.23673617573208
RD,All,ELE_DIST,E2ELE,2044,128.16562767803794
RD,All,ELE_DIST,E2ELE,2045,130.09451918034387
RD,All,ELE_DIST,E2ELE,2046,132.0234106826497
RD,All,ELE_DIST,E2ELE,2047,133.95230218495556
RD,All,ELE_DIST,E2ELE,2048,135.8811936872614
RD,All,ELE_DIST,E2ELE,2049,137.81008518956725
RD,All,ELE_DIST,E2ELE,2050,139.73897669187306
RD,All,LU_FOR,E1_SOI,2018,2.0581
RD,All,LU_FOR,E1_SOI,2019,2.0579
RD,All,LU_FOR,E1_SOI,2020,2.0575
